area_size;sunlight_need;environment_type;climate_type;fertilizer_frequency;pesticide_frequency;has_pet;has_child;suggested_plant;user_feedback;id;watering_frequency
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Sweet Potato Vine;0;1450;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Echeveria;0;1451;Weekly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Aglaonema (Chinese Evergreen);0;1452;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Nerve Plant (Fittonia);0;1453;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;String of Hearts;0;1454;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Peony;0;1455;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Tulip;0;1456;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Catnip;0;1457;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Guar;0;1458;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Violet;0;1459;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Nutmeg;0;1460;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;No;No;Helenium;0;1461;Monthly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;No;No;Fritillaria;0;1462;Monthly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;No;No;Cyclamen;0;1463;Monthly
Mini;1-2 hours daily;Indoor;All seasons;Never needed;Never needed;No;No;Amaryllis;0;1464;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Never needed;Never needed;No;No;Marjoram;0;1465;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Never needed;Never needed;No;No;Elderflower;0;1466;Every 2-3 days
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Lupine;0;1467;Daily
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Oregano;0;1468;Daily
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Rattlesnake Plant;0;1469;Daily
Large;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Christmas Cactus;0;1470;Monthly
Large;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Polka Dot Begonia;0;1471;Monthly
Large;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Lychee;0;1472;Monthly
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Yarrow;0;1473;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Snake Plant;0;1474;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Pothos;0;1475;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Ligustrum;0;1476;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Chinese Lantern Plant;0;1477;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Bee Balm;0;1478;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Marigold (African);0;1479;Monthly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Larkspur;0;1480;Monthly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Moringa;0;1481;Monthly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Heliotrope;0;1482;Monthly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Candytuft;0;1483;Monthly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Apple Tree;0;1484;Monthly
Medium;Bright indirect light;Indoor;Spring;Monthly;Monthly;Yes;Yes;Borage;0;1485;Weekly
Medium;Bright indirect light;Indoor;Spring;Monthly;Monthly;Yes;Yes;Guava;0;1486;Weekly
Medium;Bright indirect light;Indoor;Spring;Monthly;Monthly;Yes;Yes;Japanese Anemone;0;1487;Weekly
Medium;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Lavender;0;1488;Daily
Medium;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Islander (Agave);0;1489;Daily
Medium;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Split-Leaf Philodendron;0;1490;Daily
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;String of Turtles;0;1491;Every 2-3 days
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Pineapple Sage;0;1492;Every 2-3 days
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Redwood;0;1493;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Sago Palm;0;1494;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Fern (Boston Fern);0;1495;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Olive Tree;0;1496;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;1-2 times a year;Never needed;No;No;Blanket Flower;0;1497;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;1-2 times a year;Never needed;No;No;Bay Laurel;0;1498;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;1-2 times a year;Never needed;No;No;Prayer Plant (Maranta);0;1499;Every 2-3 days
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Carnation;0;1500;Daily
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Brassica;0;1501;Daily
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Haworthia;0;1502;Daily
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Fern (Boston Fern);0;1503;Monthly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Tuberose (Polianthes);0;1504;Monthly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Phlox;0;1505;Monthly
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;Never needed;No;No;Lamb'S Ear;0;1506;Bi-weekly
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;Never needed;No;No;Armeria (Thrift);0;1507;Bi-weekly
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;Never needed;No;No;Mayapple;0;1508;Bi-weekly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Zoysia Grass;0;1509;Monthly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Sago Palm;0;1510;Monthly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Plumeria;0;1511;Monthly
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Galangal;0;1512;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Gazania;0;1513;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Majesty Palm;0;1514;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Succulent Mix;0;1515;Weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Snowdrop;0;1516;Weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Litchi;0;1517;Weekly
Medium;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Galax;0;1518;Every 2-3 days
Medium;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Bluebell;0;1519;Every 2-3 days
Medium;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Rosemary Mint;0;1520;Every 2-3 days
Small;6+ hours;Indoor;Summer;Never needed;1-2 times a year;No;No;Chinese Money Plant;0;1521;Daily
Small;6+ hours;Indoor;Summer;Never needed;1-2 times a year;No;No;Mustard;0;1522;Daily
Small;6+ hours;Indoor;Summer;Never needed;1-2 times a year;No;No;Quince;0;1523;Daily
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Carnation;0;1524;Daily
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Sweet William;0;1525;Daily
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Zea Mays (Corn);0;1526;Daily
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;California Poppy;0;1527;Monthly
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Pineapple;0;1528;Monthly
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Banyan Tree (Bargad);0;1529;Monthly
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Elderberry;0;1530;Bi-weekly
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Dianella;0;1531;Bi-weekly
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Speedwell;0;1532;Bi-weekly
Large;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Globe Thistle;0;1533;Weekly
Large;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Fig Tree;0;1534;Weekly
Large;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Sugarcane;0;1535;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Red Maple;0;1536;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Knautia;0;1537;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Nerve Plant (Fittonia);0;1538;Weekly
Large;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Jasmine;0;1539;Weekly
Large;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Blanket Flower;0;1540;Weekly
Large;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Grape Vine;0;1541;Weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Veronica;0;1542;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Cress;0;1543;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Marigold (African);0;1544;Bi-weekly
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Water Lily;0;1545;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Engelmann Spruce;0;1546;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Acacia;0;1547;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Jasmine;0;1548;Monthly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Philodendron;0;1549;Monthly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Umbrella Tree;0;1550;Monthly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Croton;0;1551;Monthly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Veronica;0;1552;Monthly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Lilac Bush;0;1553;Monthly
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Umbrella Tree;0;1554;Every 2-3 days
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Holly;0;1555;Every 2-3 days
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Jatropha;0;1556;Every 2-3 days
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Dragonfruit Cactus;0;1557;Bi-weekly
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Guar;0;1558;Bi-weekly
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Umbrella Tree;0;1559;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Fig Tree;0;1560;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Acacia;0;1561;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Pomegranate;0;1562;Every 2-3 days
Small;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Money Tree;0;1563;Monthly
Small;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Lipstick Plant;0;1564;Monthly
Small;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Red Maple;0;1565;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Rosemary Mint;0;1566;Every 2-3 days
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Lemon Grass;0;1567;Every 2-3 days
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Fennel;0;1568;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Columbine;0;1569;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Radish;0;1570;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Tradescantia;0;1571;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Dill;0;1572;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Lacandonian;0;1573;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Bellflower;0;1574;Every 2-3 days
Small;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Parlor Palm;0;1575;Weekly
Small;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Dieffenbachia;0;1576;Weekly
Small;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Sugarcane;0;1577;Weekly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Russian Sage;0;1578;Weekly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Teak;0;1579;Weekly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Lucky Bamboo;0;1580;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Wandering Jew;0;1581;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Quaking Aspen;0;1582;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Tuberose;0;1583;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Scabiosa (Pincushion Flower);0;1584;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Coral Bells;0;1585;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Dieffenbachia;0;1586;Bi-weekly
Small;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Amaltas (Golden Shower);0;1587;Monthly
Small;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Radish;0;1588;Monthly
Small;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Fuchsia;0;1589;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Aquilegia (Columbine);0;1590;Weekly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Ginger;0;1591;Weekly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Mandevilla;0;1592;Weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Cress;0;1593;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Oregano;0;1594;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Rose;0;1595;Bi-weekly
Medium;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Poppy;0;1596;Every 2-3 days
Medium;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Luffa;0;1597;Every 2-3 days
Medium;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Ginger;0;1598;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;Yes;No;Protea;0;1599;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;Yes;No;Jatropha;0;1600;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;Yes;No;Zebra Grass;0;1601;Bi-weekly
Large;6+ hours;Indoor;Summer;Never needed;Never needed;No;No;Tradescantia;0;1602;Bi-weekly
Large;6+ hours;Indoor;Summer;Never needed;Never needed;No;No;Aglaonema (Chinese Evergreen);0;1603;Bi-weekly
Large;6+ hours;Indoor;Summer;Never needed;Never needed;No;No;Grape Hyacinth;0;1604;Bi-weekly
Medium;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Scabiosa (Pincushion Flower);0;1605;Bi-weekly
Medium;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Sea Holly;0;1606;Bi-weekly
Medium;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Tiger Lily;0;1607;Bi-weekly
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Themeda (Kangaroo Grass);0;1608;Weekly
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Cress;0;1609;Weekly
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Bigleaf Hydrangea;0;1610;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Stevia;0;1611;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Snowdrop;0;1612;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Gerbera Daisy;0;1613;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Cat Grass;0;1614;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Ironwood;0;1615;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Aloe Vera;0;1616;Bi-weekly
Mini;6+ hours;Indoor;Spring;Never needed;1-2 times a year;No;No;Knautia;0;1617;Monthly
Mini;6+ hours;Indoor;Spring;Never needed;1-2 times a year;No;No;Dragon Fruit;0;1618;Monthly
Mini;6+ hours;Indoor;Spring;Never needed;1-2 times a year;No;No;Norfolk Island Pine;0;1619;Monthly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Carrot;0;1620;Daily
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Mulberry;0;1621;Daily
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Borage;0;1622;Daily
Small;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Foxglove;0;1623;Weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Pomegranate;0;1624;Weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Anemone;0;1625;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Laelia Orchid;0;1626;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Tansy;0;1627;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Swedish Ivy;0;1628;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Snowdrop;0;1629;Daily
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Blackcurrant;0;1630;Daily
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Lotus Bamboo;0;1631;Daily
Medium;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Lotus Bamboo;0;1632;Every 2-3 days
Medium;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Lipstick Plant;0;1633;Every 2-3 days
Medium;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Chili Pepper;0;1634;Every 2-3 days
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Begonia (Outdoor);0;1635;Weekly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Cornflower;0;1636;Weekly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Balsam;0;1637;Weekly
Medium;Bright indirect light;Indoor;Summer;Never needed;1-2 times a year;No;No;Jacaranda;0;1638;Every 2-3 days
Medium;Bright indirect light;Indoor;Summer;Never needed;1-2 times a year;No;No;Jasmine;0;1639;Every 2-3 days
Medium;Bright indirect light;Indoor;Summer;Never needed;1-2 times a year;No;No;Strawberry;0;1640;Every 2-3 days
Medium;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Bay Laurel;0;1641;Daily
Medium;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Maranta (Prayer Plant);0;1642;Daily
Medium;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Ice Plant;0;1643;Daily
Small;Bright indirect light;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Catnip;0;1644;Bi-weekly
Small;Bright indirect light;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Orchids;0;1645;Bi-weekly
Small;Bright indirect light;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Calendula;0;1646;Bi-weekly
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Candytuft;0;1647;Weekly
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Bleeding Heart;0;1648;Weekly
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Philodendron;0;1649;Weekly
Small;Bright indirect light;Indoor;Winter;Monthly;Monthly;Yes;Yes;Verbena;0;1650;Bi-weekly
Small;Bright indirect light;Indoor;Winter;Monthly;Monthly;Yes;Yes;Cast Iron Plant;0;1651;Bi-weekly
Small;Bright indirect light;Indoor;Winter;Monthly;Monthly;Yes;Yes;Sage;0;1652;Bi-weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;California Poppy;0;1653;Bi-weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Buckwheat;0;1654;Bi-weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Hops;0;1655;Bi-weekly
Small;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Majesty Palm;0;1656;Weekly
Small;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Sago Palm;0;1657;Weekly
Small;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Lucky Bamboo;0;1658;Weekly
Large;Bright indirect light;Indoor;Spring;Monthly;Monthly;No;No;Hibiscus;0;1659;Daily
Large;Bright indirect light;Indoor;Spring;Monthly;Monthly;No;No;Clover;0;1660;Daily
Large;Bright indirect light;Indoor;Spring;Monthly;Monthly;No;No;Grape Vine;0;1661;Daily
Mini;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Staghorn Fern;0;1662;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Cosmos;0;1663;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Salvia;0;1664;Every 2-3 days
Small;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Fairy Lantern;0;1665;Bi-weekly
Small;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Hummingbird Sage;0;1666;Bi-weekly
Small;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Radish;0;1667;Bi-weekly
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Aztec Lily;0;1668;Weekly
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Pine;0;1669;Weekly
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Succulent Mix;0;1670;Weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Dianella;0;1671;Monthly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Epazote;0;1672;Monthly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Verbena;0;1673;Monthly
Mini;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Dragon Fruit;0;1674;Every 2-3 days
Mini;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Cockscomb (Celosia);0;1675;Every 2-3 days
Mini;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Fig Tree;0;1676;Every 2-3 days
Mini;Bright indirect light;Indoor;Spring;Never needed;Monthly;No;No;Cactus;0;1677;Monthly
Mini;Bright indirect light;Indoor;Spring;Never needed;Monthly;No;No;Marjoram;0;1678;Monthly
Mini;Bright indirect light;Indoor;Spring;Never needed;Monthly;No;No;Coreopsis;0;1679;Monthly
Medium;6+ hours;Semi-outdoor;Spring;Monthly;1-2 times a year;Yes;No;Ageratum;0;1680;Daily
Medium;6+ hours;Semi-outdoor;Spring;Monthly;1-2 times a year;Yes;No;Lemon Balm;0;1681;Daily
Medium;6+ hours;Semi-outdoor;Spring;Monthly;1-2 times a year;Yes;No;Rattlesnake Plant;0;1682;Daily
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Scabiosa (Pincushion Flower);0;1683;Weekly
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Lacandonian;0;1684;Weekly
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Acanthus;0;1685;Weekly
Medium;Bright indirect light;Semi-outdoor;Summer;Monthly;Never needed;No;No;Calendula;0;1686;Bi-weekly
Medium;Bright indirect light;Semi-outdoor;Summer;Monthly;Never needed;No;No;Aster;0;1687;Bi-weekly
Medium;Bright indirect light;Semi-outdoor;Summer;Monthly;Never needed;No;No;Zucchini;0;1688;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Periwinkle;0;1689;Daily
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Daylily;0;1690;Daily
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Maranta (Prayer Plant);0;1691;Daily
Mini;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Hollyhock;0;1692;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Ginkgo;0;1693;Bi-weekly
